Partlist

Exported from Motherboard Schematics - 1 - 29_Dec_2020.brd at 1/27/2021 3:21 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                               Package                                   Library                                           Position (mil)        Orientation
C108     0.1uF                               C1206                                     rcl                                               (4010 300)            MR90
D1       1N4148W                             DO214AC                                   diode                                             (4979 1497)           MR0
D2       1N4148W                             DO214AC                                   diode                                             (4977 1483)           R180
D3       1N4148W                             DO214AC                                   diode                                             (4754 1278)           R0
D4       1N4148W                             DO214AC                                   diode                                             (5069 593)            MR0
D5       1N4148W                             DO214AC                                   diode                                             (5066 -3)             MR0
D6       1N4148W                             DO214AC                                   diode                                             (4900 169)            R0
D7       1N4148W                             DO214AC                                   diode                                             (4908 -478)           R180
D8       1N4148W                             DO214AC                                   diode                                             (5040 -523)           MR0
D9       1N4148W                             DO214AC                                   diode                                             (4657 -596)           R0
D10      1N4148W                             DO214AC                                   diode                                             (4699 -754)           MR180
D11      1N4148W                             DO214AC                                   diode                                             (4800 1620)           MR270
D12      1N4148W                             DO214AC                                   diode                                             (4802 1767)           R90
D13      1N4148W                             DO214AC                                   diode                                             (4775 1090)           R90
D14.     1N4148W                             DO214AC                                   diode                                             (4895 1054)           MR0
D15      1N4148W                             DO214AC                                   diode                                             (4805 121)            MR0
D16      1N4148W                             DO214AC                                   diode                                             (4803 384)            R90
D17      1N4148W                             DO214AC                                   diode                                             (4768 -407)           MR0
D18      1N4148W                             DO214AC                                   diode                                             (4723 -371)           R270
D19      1N4148W                             DO214AC                                   diode                                             (5035 -632)           R0
D20      1N4148W                             DO214AC                                   diode                                             (5104 -767)           MR90
FUSE                                         SH22,5A                                   fuse                                              (1260 3965)           R0
IC1      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (756 1315)            R0
IC2      7805DT                              TO252                                     linear                                            (4765 3005)           MR180
IC3      7805DT                              TO252                                     linear                                            (5060 3680)           MR0
IC4      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1680 -755)           R90
IC5      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (2150 -680)           R270
IC6      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (2010 5)              R0
IC7      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1590 -5)             R0
IC8      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1475 690)            R0
IC9      MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1955 615)            R0
IC10     MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1566 1137)           R0
IC11     MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1970 1150)           R0
IC12     MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1011 780)            R90
IC13     MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (581 408)             R0
IC14     MCT2E                               DIP762W60P254L712H480Q6N                  MCT2E                                             (1171 1486)           R0
LED1                                         CHIPLED_1206                              led                                               (1699 -1114)          R90
LED2                                         CHIPLED_1206                              led                                               (2045 -398)           R270
LED3                                         CHIPLED_1206                              led                                               (1945 245)            R90
LED4                                         CHIPLED_1206                              led                                               (1538 238)            R90
LED5                                         CHIPLED_1206                              led                                               (1517 465)            R90
LED6                                         CHIPLED_1206                              led                                               (1924 862)            R90
LED7                                         CHIPLED_1206                              led                                               (1490 1390)           R90
LED8                                         CHIPLED_1206                              led                                               (1945 1390)           R90
LED9                                         CHIPLED_1206                              led                                               (798 716)             R180
